SSID,FirstName,LastName,DOB,SchoolName,Grade,MealStatus
10001,Ava,Thompson,2008-03-12,Lincoln Middle School,6,Free
10102,Ethan,Johnson,2007-07-19,Roosevelt Middle School,7,Reduced
10003,Sophia,Martinez,2009-11-02,Washington Elementary School,5,Free
10004,Liam,Smith,2006-05-23,Franklin High School,9,None
10005,Isabella,Nguyen,2008-09-14,Lincoln Middle School,6,Free
10006,Mason,Davis,2005-12-30,Franklin High School,10,Reduced
10007,Mia,Patel,2009-06-17,Washington Elementary School,5,None
10008,Noah,Robinson,2007-10-04,Roosevelt Middle School,7,Free
10009,Charlotte,Lee,2006-04-21,Franklin High School,9,Free
10010,Jacob,Kim,2008-08-08,Lincoln Middle School,6,None
10011,Amelia,Garcia,2005-09-03,Franklin High School,10,Free
10012,Benjamin,Wright,2007-02-15,Roosevelt Middle School,8,None
10013,Ella,Hernandez,2010-01-26,Washington Elementary School,4,Free
10014,Logan,King,2006-11-11,Franklin High School,9,Reduced
10015,Grace,Turner,2008-06-09,Lincoln Middle School,6,Reduced
10016,James,Clark,2007-05-01,Roosevelt Middle School,8,Free
10017,Chloe,Perez,2009-10-19,Washington Elementary School,5,None
10018,Daniel,Young,2005-08-28,Franklin High School,10,Free
10019,Hannah,Scott,2006-02-07,Franklin High School,9,Reduced
10020,Matthew,Adams,2008-01-15,Lincoln Middle School,6,None
10021,Emily,Rodriguez,2007-04-12,Roosevelt Middle School,7,Free
10022,William,Brown,2008-12-03,Lincoln Middle School,6,Reduced
10023,Olivia,Wilson,2009-08-22,Washington Elementary School,5,Free
10024,Alexander,Miller,2006-01-17,Franklin High School,9,None
10025,Avery,Moore,2008-07-08,Lincoln Middle School,6,Free
10026,Michael,Taylor,2005-11-29,Franklin High School,10,Reduced
10027,Scarlett,Anderson,2009-03-14,Washington Elementary School,5,None
10028,Elijah,Thomas,2007-09-26,Roosevelt Middle School,7,Free
10029,Madison,Jackson,2006-06-11,Franklin High School,9,Free
10030,Lucas,White,2008-02-05,Lincoln Middle School,6,None
10031,Luna,Harris,2005-10-18,Franklin High School,10,Free
10032,Henry,Martin,2007-12-07,Roosevelt Middle School,8,None
10033,Layla,Thompson,2010-05-23,Washington Elementary School,4,Free
10034,Owen,Garcia,2006-03-16,Franklin High School,9,Reduced
10035,Zoe,Martinez,2008-11-01,Lincoln Middle School,6,Reduced
10036,Carter,Robinson,2007-08-14,Roosevelt Middle School,8,Free
10037,Nora,Lewis,2009-01-28,Washington Elementary School,5,None
10038,Wyatt,Lee,2005-07-09,Franklin High School,10,Free
10039,Stella,Walker,2006-12-22,Franklin High School,9,Reduced
10040,Leo,Hall,2008-04-06,Lincoln Middle School,6,None
10041,Hazel,Allen,2007-06-19,Roosevelt Middle School,7,Free
10042,Asher,Young,2008-10-12,Lincoln Middle School,6,Reduced
10043,Violet,Hernandez,2009-02-25,Washington Elementary School,5,Free
10044,Julian,King,2006-09-08,Franklin High School,9,None
10045,Aurora,Wright,2008-05-21,Lincoln Middle School,6,Free
10046,Mateo,Lopez,2005-01-04,Franklin High School,10,Reduced
10047,Savannah,Hill,2009-07-17,Washington Elementary School,5,None
10048,Grayson,Scott,2007-11-30,Roosevelt Middle School,7,Free
10049,Brooklyn,Green,2006-08-13,Franklin High School,9,Free
10050,Levi,Adams,2008-03-27,Lincoln Middle School,6,None
10051,Bella,Baker,2005-12-10,Franklin High School,10,Free
10052,Maverick,Gonzalez,2007-04-23,Roosevelt Middle School,8,None
10053,Ruby,Nelson,2010-09-06,Washington Elementary School,4,Free
10054,Kai,Carter,2006-02-19,Franklin High School,9,Reduced
10055,Ivy,Mitchell,2008-08-02,Lincoln Middle School,6,Reduced
10056,Roman,Perez,2007-01-15,Roosevelt Middle School,8,Free
10057,Evelyn,Roberts,2009-05-28,Washington Elementary School,5,None
10058,Miles,Turner,2005-11-11,Franklin High School,10,Free
10059,Autumn,Phillips,2006-07-24,Franklin High School,9,Reduced
10060,Ezra,Campbell,2008-12-07,Lincoln Middle School,6,None
10061,Nova,Parker,2007-03-20,Roosevelt Middle School,7,Free
10062,Axel,Evans,2008-09-03,Lincoln Middle School,6,Reduced
10063,Willow,Edwards,2009-12-16,Washington Elementary School,5,Free
10064,Declan,Collins,2006-04-29,Franklin High School,9,None
10065,Kinsley,Stewart,2008-01-12,Lincoln Middle School,6,Free
10066,Theo,Sanchez,2005-06-25,Franklin High School,10,Reduced
10067,Genesis,Morris,2009-10-08,Washington Elementary School,5,None
10068,Beau,Rogers,2007-05-21,Roosevelt Middle School,7,Free
10069,Serenity,Reed,2006-11-04,Franklin High School,9,Free
10070,Rowan,Cook,2008-06-17,Lincoln Middle School,6,None
